epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,252.452,0.39522,0.34416,0.84406,0.676,0.77778,0.77971,0.50763,1.2489,2.49798,1.64703,0.00025788,0.00025788,0.00025788
44,258.73,0.36018,0.3262,0.85418,0.676,0.77778,0.77971,0.50763,1.2489,2.49798,1.64703,0.00024983,0.00024983,0.00024983
45,264.994,0.33174,0.30468,0.8335,0.61066,0.77778,0.73336,0.46045,1.32485,2.69402,1.7142,0.00024112,0.00024112,0.00024112
46,270.771,0.34879,0.30937,0.84243,0.61066,0.77778,0.73336,0.46045,1.32485,2.69402,1.7142,0.00023175,0.00023175,0.00023175
47,276.587,0.33173,0.33916,0.82059,0.49918,0.88616,0.58333,0.36664,1.35243,3.06625,1.74678,0.00022172,0.00022172,0.00022172
48,282.383,0.31348,0.28512,0.84043,0.49918,0.88616,0.58333,0.36664,1.35243,3.06625,1.74678,0.00021103,0.00021103,0.00021103
49,288.629,0.34794,0.29094,0.8709,0.4969,0.87856,0.58427,0.3145,1.34528,3.60118,1.74876,0.00019968,0.00019968,0.00019968
50,293.875,0.3192,0.29924,0.85882,0.4969,0.87856,0.58427,0.3145,1.34528,3.60118,1.74876,0.00018767,0.00018767,0.00018767
51,299.166,0.33325,0.4003,0.83359,0.4953,0.87321,0.55711,0.31468,1.37981,3.72078,1.82829,0.000175,0.000175,0.000175
52,304.529,0.33786,0.37176,0.81333,0.4953,0.87321,0.55711,0.31468,1.37981,3.72078,1.82829,0.00016167,0.00016167,0.00016167
53,310.145,0.33044,0.41914,0.8446,0.4953,0.87321,0.55711,0.31468,1.37981,3.72078,1.82829,0.00014768,0.00014768,0.00014768
54,315.759,0.43084,0.4948,0.83633,0.49681,0.87826,0.5365,0.29849,1.39038,3.44696,1.87571,0.00013303,0.00013303,0.00013303
55,321.613,0.30579,0.33884,0.82616,0.49681,0.87826,0.5365,0.29849,1.39038,3.44696,1.87571,0.00011772,0.00011772,0.00011772
56,327.55,0.36417,0.38261,0.8236,0.49681,0.87826,0.5365,0.29849,1.39038,3.44696,1.87571,0.00010175,0.00010175,0.00010175
57,333.428,0.32368,0.34182,0.82447,0.53807,0.66667,0.53051,0.30045,1.39713,3.11194,1.91677,8.512e-05,8.512e-05,8.512e-05
58,339.314,0.31446,0.3125,0.81984,0.53807,0.66667,0.53051,0.30045,1.39713,3.11194,1.91677,6.783e-05,6.783e-05,6.783e-05
59,345.279,0.35096,0.36192,0.81581,0.53807,0.66667,0.53051,0.30045,1.39713,3.11194,1.91677,4.988e-05,4.988e-05,4.988e-05
